epoch,train_loss,val_loss,val_acc
1,10.261380468096052,1.7586621642112732,0.23214285714285715
2,8.898724147251674,1.6956115365028381,0.125
3,9.489358833857946,1.848132610321045,0.19642857142857142
4,8.689613137926374,2.297099232673645,0.19642857142857142
5,7.9537192072187155,3.261669874191284,0.23214285714285715
6,7.694059440067837,4.424272894859314,0.21428571428571427
7,7.307898112705776,5.201478004455566,0.23214285714285715
8,6.683192593710763,5.3744542598724365,0.21428571428571427
9,6.095345054353986,5.779763102531433,0.25
10,5.278920139585223,5.283304810523987,0.26785714285714285
11,5.8207533700125555,5.329229235649109,0.2857142857142857
12,5.266591889517648,5.2623103857040405,0.2857142857142857
13,5.08568228994097,5.042121052742004,0.30357142857142855
14,5.408977849142892,5.1834880113601685,0.2857142857142857
15,4.868298155920846,4.47999906539917,0.32142857142857145
16,4.965445790972028,4.518122434616089,0.30357142857142855
17,4.514312744140625,4.134122848510742,0.3392857142857143
18,4.642462491989136,4.486780762672424,0.35714285714285715
19,5.0559097698756625,4.323403358459473,0.35714285714285715
20,4.939427954810006,4.216850280761719,0.3392857142857143
21,4.500883885792324,3.71109402179718,0.35714285714285715
22,3.7184363433292935,3.7370152473449707,0.375
23,3.762296336037772,3.9247820377349854,0.375
24,3.8821371282849992,3.6639174222946167,0.42857142857142855
25,4.129293850490025,4.254057049751282,0.375
26,3.243510757173811,3.7670512199401855,0.32142857142857145
27,3.1813950538635254,3.7659608125686646,0.39285714285714285
28,3.4598662853240967,3.51569926738739,0.32142857142857145
29,2.8064960411616733,3.2819344997406006,0.375
30,3.430335589817592,3.5309516191482544,0.39285714285714285
31,3.4200152499335155,3.3182302713394165,0.2857142857142857
32,3.345196468489511,3.340772271156311,0.3392857142857143
33,4.308160986219134,3.3784199953079224,0.39285714285714285
34,3.004946776798793,3.345253109931946,0.375
35,2.942397747720991,3.557412624359131,0.3392857142857143
36,2.7219418798174178,3.56422758102417,0.39285714285714285
37,2.6411943095070973,3.2421268224716187,0.42857142857142855
38,2.9315822635378157,3.438143014907837,0.4107142857142857
39,2.467690178326198,3.3537395000457764,0.39285714285714285
40,3.2377962044307163,3.2693182229995728,0.39285714285714285
41,2.8493954113551547,3.377336025238037,0.39285714285714285
42,2.4495770931243896,3.374453544616699,0.32142857142857145
43,3.2146864448274886,3.34093177318573,0.4107142857142857
44,2.5527355670928955,3.2729365825653076,0.35714285714285715
45,2.1343856028148105,3.337886095046997,0.375
46,2.716977068356105,3.325623631477356,0.39285714285714285
47,2.117488077708653,3.022628664970398,0.39285714285714285
48,2.756298746381487,3.2217912673950195,0.42857142857142855
49,2.3471091304506575,3.122678279876709,0.42857142857142855
50,2.273980498313904,3.1333587169647217,0.4107142857142857
51,2.776000499725342,3.116558790206909,0.44642857142857145
52,2.068087492670332,3.164129137992859,0.44642857142857145
53,2.410598874092102,3.129076600074768,0.4107142857142857
54,2.1587614842823575,2.9921393394470215,0.42857142857142855
55,2.0604886327471053,2.91119384765625,0.39285714285714285
56,2.036214164325169,3.13908851146698,0.4107142857142857
57,2.1491032668522427,2.954196572303772,0.39285714285714285
58,2.3370772770472934,3.0389758348464966,0.375
59,2.2736531496047974,3.0954015254974365,0.35714285714285715
60,2.2940017666135515,3.2230048179626465,0.4642857142857143
61,2.339919856616429,2.9890427589416504,0.4107142857142857
62,1.876428382737296,2.8706741333007812,0.39285714285714285
63,2.4274421419416154,2.992605209350586,0.375
64,1.746441228049142,2.7830750942230225,0.375
65,1.8228952373777116,2.9700493812561035,0.375
66,1.9090171882084437,2.8858754634857178,0.42857142857142855
67,1.9855461972100394,2.787549376487732,0.375
68,1.9752551317214966,3.049899458885193,0.35714285714285715
69,1.86721294266837,2.688557267189026,0.4642857142857143
70,1.8866367850984846,2.6311709880828857,0.4642857142857143
71,1.828865545136588,2.743646025657654,0.4642857142857143
72,1.7338314056396484,2.7366384267807007,0.44642857142857145
73,1.8077154670442854,2.7186167240142822,0.42857142857142855
74,1.795978035245623,2.6367534399032593,0.4642857142857143
75,1.8115458147866386,2.5747169256210327,0.42857142857142855
76,1.832960741860526,2.432860016822815,0.4642857142857143
77,1.8155873247555323,2.500991940498352,0.4107142857142857
78,1.7744145223072596,2.342357337474823,0.4642857142857143
79,2.2857067584991455,2.368835687637329,0.44642857142857145
80,1.6777369635445731,2.3539669513702393,0.39285714285714285
81,1.9054803337369646,2.3252381682395935,0.39285714285714285
82,1.890884484563555,2.473346710205078,0.35714285714285715
83,1.796068855694362,2.383290410041809,0.39285714285714285
84,1.6179527725492204,2.3420004844665527,0.39285714285714285
85,1.5611101729529244,2.4535433053970337,0.39285714285714285
86,2.2054039921079363,2.530707895755768,0.39285714285714285
87,1.6175084284373693,2.5328210592269897,0.42857142857142855
88,1.7252589464187622,2.539482057094574,0.39285714285714285
89,1.8410587481090002,2.444328784942627,0.4107142857142857
90,1.4360100541796004,2.5509923696517944,0.375
91,1.7497789348874773,2.6018482446670532,0.39285714285714285
92,1.4070491450173515,2.4909732341766357,0.3392857142857143
93,1.7952122007097517,2.493303418159485,0.35714285714285715
94,1.525771677494049,2.412963032722473,0.35714285714285715
95,1.6694989885602678,2.2300480008125305,0.35714285714285715
96,1.6022708415985107,2.3752788305282593,0.375
97,1.9293546846934728,2.4466201066970825,0.3392857142857143
98,1.4731572100094386,2.5233991146087646,0.35714285714285715
99,1.5614677156720842,2.6679598093032837,0.375
100,1.6487713030406408,2.9201725721359253,0.3392857142857143
